number of lenses, lens scale, number of blocks, number of threads, WL ,x pixels, y pixels, Total host time,Total device time, total program time
1,0.005,2504,1024,4,1601,1601,21.649,0.716608,47.332
1,0.005,2760,1024,4.2,1681,1681,23.922,0.78672,50.402
1,0.005,3029,1024,4.4,1761,1761,25.365,0.860576,55.832
1,0.005,3310,1024,4.6,1841,1841,27.14,0.937088,56.132
1,0.005,3604,1024,4.8,1921,1921,29.287,1.01923,58.582
1,0.005,3911,1024,5,2001,2001,33.18,1.10365,63.66
1,0.005,4230,1024,5.2,2081,2081,35.476,1.18998,62.059
1,0.005,4561,1024,5.4,2161,2161,39.534,1.28099,71.573
1,0.005,4905,1024,5.6,2241,2241,39.208,1.37642,69.79
1,0.005,5261,1024,5.8,2321,2321,44.767,1.47251,74.094
1,0.005,5630,1024,6,2401,2401,44.711,1.57418,79.595
1,0.005,6012,1024,6.2,2481,2481,51.032,1.68147,81.536
1,0.005,6406,1024,6.4,2561,2561,51.636,1.79072,81.255
1,0.005,6812,1024,6.6,2641,2641,53.642,1.90221,81.804
1,0.005,7231,1024,6.8,2721,2721,58.704,2.01437,87.906
1,0.005,7662,1024,7,2801,2801,60.06,2.13347,90.205
1,0.005,8106,1024,7.2,2881,2881,66.396,2.25514,100.706
1,0.005,8563,1024,7.4,2961,2961,68.705,2.38,99.011
1,0.005,9031,1024,7.6,3041,3041,72.95,2.5127,102.958
1,0.005,9513,1024,7.8,3121,3121,73.223,2.6415,116.262
1,0.005,10007,1024,8,3201,3201,80.706,2.78205,109.24
